Date,Close,High,Low,Open,Volume
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
2025-01-01,0.5126306172305508,94929.8671875,92788.125,93425.1015625,24519888919
2025-01-02,0.5823205785446786,97739.8203125,94201.5703125,94416.2890625,46009564411
2025-01-03,0.616798230998572,98956.9140625,96034.6171875,96881.7265625,35611391163
2025-01-04,0.6204364243043496,98734.4296875,97562.9765625,98106.9921875,22342608078
2025-01-05,0.6226604757501595,98813.3046875,97291.765625,98233.90625,20525254825
2025-01-06,0.7289594537634314,102482.875,97926.1484375,98314.953125,51823432705
2025-01-07,0.5833326345012657,102712.484375,96132.875,102248.8515625,58685738547
2025-01-08,0.530250454056941,97258.3203125,92525.84375,96924.1640625,63875859171
2025-01-09,0.4579513480470587,95349.71875,91220.84375,95043.484375,62777261693
2025-01-10,0.5205878133985968,95770.609375,92250.09375,92494.4921875,62058693684
2025-01-11,0.516778369455595,94977.6875,93840.046875,94700.8359375,18860894100
2025-01-12,0.5145706486117887,95367.5390625,93712.5078125,94565.7265625,20885130965
2025-01-13,0.5153640069118168,95837.0,89260.1015625,94488.890625,72978998252
2025-01-14,0.5723540562787854,97352.6640625,94322.15625,94519.0078125,53769675818
2025-01-15,0.6845093205807515,100697.234375,96501.640625,96534.046875,57805923627
2025-01-16,0.6633918660360996,100781.5859375,97364.4453125,100505.296875,54103781805
2025-01-17,0.7963002359109939,105884.2265625,99948.90625,100025.765625,71888972663
2025-01-18,0.7947757521455983,104913.203125,102226.6171875,104124.953125,50445655726
2025-01-19,0.7010374345948356,106299.796875,99570.53125,104411.2890625,76789928525
2025-01-20,0.7272244376424788,109114.8828125,99471.359375,101083.75,126279678351
2025-01-21,0.8438754725392101,107180.921875,100103.953125,102052.578125,88733878242
2025-01-22,0.7734488686644436,106294.34375,103360.265625,106136.3828125,53878181052
2025-01-23,0.7821237285853946,106820.328125,101257.8046875,103657.671875,104104515428
2025-01-24,0.806397182309103,107098.546875,102772.125,103965.671875,52388229265
2025-01-25,0.803435826251222,105243.7890625,104120.375,104824.03125,23888996502
2025-01-26,0.7460326567903306,105438.6484375,102507.7109375,104713.2109375,22543395879
2025-01-27,0.7292306741669736,103214.109375,97795.9375,102680.3046875,89006608428
2025-01-28,0.7078978322229261,103730.8203125,100238.1875,102095.4140625,47180685494
2025-01-29,0.7748652173625197,104750.8046875,101283.8203125,101317.5234375,47432049818
2025-01-30,0.8040193142471264,106418.765625,103321.6484375,103709.3359375,41915744521
2025-01-31,0.7381946298801467,106026.3515625,101543.8828125,104737.5625,45732764360
2025-02-01,0.6887863935189578,102755.7265625,100297.7109375,102402.796875,27757944848
2025-02-02,0.6049779647214861,101430.6640625,96216.078125,100661.5390625,63091816853
2025-02-03,0.7099583569648913,102514.171875,91242.890625,97681.1015625,115400897748
2025-02-04,0.6101428486307672,101745.6171875,96208.109375,101398.71875,73002130211
2025-02-05,0.5746533609040974,99113.2109375,96174.828125,97878.0078125,49125911241
2025-02-06,0.5740277223003196,99168.609375,95707.3515625,96610.640625,45302471947
2025-02-07,0.5722139220588915,100154.140625,95653.8828125,96581.3203125,55741290456
2025-02-08,0.5708966603918904,96877.8046875,95702.4921875,96533.2578125,22447526395
2025-02-09,0.5713949644368039,97325.28125,94745.2578125,96481.3125,27732901800
2025-02-10,0.5978759183205078,98333.21875,95320.84375,96499.4609375,40078962391
2025-02-11,0.550134065415095,98492.8984375,94875.0390625,97438.1328125,37488783272
2025-02-12,0.6105394174388761,98151.0234375,94101.203125,95745.6953125,49340445530
2025-02-13,0.5748912580522005,98111.0859375,95269.7109375,97888.75,37147280860
2025-02-14,0.5998931890355457,98819.46875,96342.8046875,96623.3671875,32697987277
2025-02-15,0.6019095770153395,97975.0390625,97240.1953125,97508.3828125,17047266288
2025-02-16,0.5622127524346943,97725.59375,96060.9765625,97580.4921875,16536755396
2025-02-17,0.55086717703476,97032.234375,95243.546875,96179.0078125,27336550690
2025-02-18,0.5442618898920193,96695.375,93388.8359375,95773.8125,37325720482
2025-02-19,0.5752229458199176,96855.59375,95011.96875,95532.53125,28990872862
2025-02-20,0.6231965167267295,98767.1953125,96442.671875,96632.6796875,31668022771
2025-02-21,0.56081494117673,99497.96875,94852.9609375,98340.671875,49608706470
2025-02-22,0.5735887822005266,96950.15625,95765.34375,96134.203125,18353824477
2025-02-23,0.5650061681125136,96671.875,95270.453125,96577.8046875,16999478976
