Datetime,Close,High,Low,Open,Volume
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
2025-07-01 00:00:00+00:00,107375.3515625,107455.09375,107098.8515625,107167.6953125,0
2025-07-01 01:00:00+00:00,107255.734375,107547.9140625,107245.0625,107408.3984375,0
2025-07-01 02:00:00+00:00,107140.375,107436.859375,107140.375,107255.3125,223973376
2025-07-01 03:00:00+00:00,107240.25,107245.3203125,107115.140625,107126.34375,977993728
2025-07-01 04:00:00+00:00,106943.1015625,107262.1953125,106943.1015625,107230.4609375,0
2025-07-01 05:00:00+00:00,106971.1171875,106981.9296875,106786.859375,106933.6953125,291733504
2025-07-01 06:00:00+00:00,106917.4140625,106972.984375,106800.15625,106972.984375,428630016
2025-07-01 07:00:00+00:00,107179.03125,107201.6875,106683.421875,106925.953125,0
2025-07-01 08:00:00+00:00,106739.7578125,107180.140625,106723.9609375,107180.140625,891584512
2025-07-01 09:00:00+00:00,106587.5703125,106814.4375,106530.2421875,106743.71875,378744832
2025-07-01 10:00:00+00:00,106475.359375,106641.1328125,106366.984375,106588.1328125,273752064
2025-07-01 11:00:00+00:00,106611.3984375,106644.5859375,106375.0390625,106505.0,162099200
2025-07-01 12:00:00+00:00,106463.1015625,106714.0859375,106421.203125,106620.203125,0
2025-07-01 13:00:00+00:00,106844.4609375,106896.453125,106349.078125,106460.5390625,470175744
2025-07-01 14:00:00+00:00,105939.2265625,107172.6875,105788.6875,106845.484375,857780224
2025-07-01 15:00:00+00:00,106043.78125,106189.7109375,105696.8359375,105952.9453125,0
2025-07-01 16:00:00+00:00,106075.53125,106282.7265625,105926.5625,106027.3203125,1067520000
2025-07-01 17:00:00+00:00,106288.03125,106315.8671875,105958.8203125,106114.359375,54042624
2025-07-01 18:00:00+00:00,105740.1484375,106274.4453125,105740.1484375,106274.4453125,0
2025-07-01 19:00:00+00:00,105486.3984375,105806.875,105447.2890625,105806.875,3286695936
2025-07-01 20:00:00+00:00,106001.0078125,106001.0078125,105310.0859375,105441.390625,894304256
2025-07-01 21:00:00+00:00,105812.6171875,106094.3828125,105756.921875,105960.734375,0
2025-07-01 22:00:00+00:00,105705.90625,105908.5859375,105688.7421875,105797.34375,1254338560
2025-07-01 23:00:00+00:00,105687.7421875,105689.2109375,105394.8203125,105657.8984375,0
2025-07-02 00:00:00+00:00,105404.9921875,105795.265625,105400.5625,105695.15625,0
2025-07-02 01:00:00+00:00,105733.5859375,105785.921875,105159.734375,105409.7578125,1416867840
2025-07-02 02:00:00+00:00,105934.4140625,105934.4140625,105573.65625,105739.21875,0
2025-07-02 03:00:00+00:00,106196.671875,106224.75,105895.546875,105927.515625,1378025472
